model,epoch,train_loss,val_loss
ResNet34 + UNet++,70,0.330707,0.302987
ResNet34 + UNet++,71,0.337943,0.306636
ResNet34 + UNet++,72,0.293693,0.309764
ResNet34 + UNet++,73,0.342183,0.303473
ResNet34 + UNet++,74,0.316972,0.303862
ResNet34 + UNet++,75,0.315889,0.303650
ResNet34 + UNet++,76,0.299997,0.306298
ResNet34 + UNet++,77,0.316665,0.302323
ResNet34 + UNet++,78,0.319300,0.306051
ResNet34 + UNet++,79,0.288130,0.305786
ResNet34 + UNet++,80,0.316819,0.301357
ResNet34 + UNet++,81,0.303915,0.305208
ResNet34 + UNet++,82,0.309438,0.301348
ResNet34 + UNet++,83,0.320793,0.300149
ResNet34 + UNet++,84,0.298638,0.304671
ResNet34 + UNet++,85,0.273225,0.300940
ResNet34 + UNet++,86,0.309582,0.302679
ResNet34 + UNet++,87,0.316604,0.301618
ResNet34 + UNet++,88,0.313092,0.299136
ResNet34 + UNet++,89,0.304210,0.300803
ResNet34 + UNet++,90,0.300351,0.300410
ResNet34 + UNet++,91,0.327557,0.304150
ResNet34 + UNet++,92,0.309850,0.302947
ResNet34 + UNet++,93,0.323049,0.297561
ResNet34 + UNet++,94,0.285949,0.298790
ResNet34 + UNet++,95,0.278554,0.300530
ResNet34 + UNet++,96,0.308806,0.299794
ResNet34 + UNet++,97,0.312702,0.300135
ResNet34 + UNet++,98,0.316207,0.300155
ResNet34 + UNet++,99,0.309946,0.296494
ResNet34 + UNet++,100,0.311238,0.299519
ResNet34 + UNet++,101,0.312053,0.299762
ResNet34 + UNet++,102,0.303758,0.295791
ResNet34 + UNet++,103,0.306226,0.296872
ResNet34 + UNet++,104,0.280983,0.296459
ResNet34 + UNet++,105,0.291473,0.294937
ResNet34 + UNet++,106,0.313880,0.297049
ResNet34 + UNet++,107,0.296565,0.295359
ResNet34 + UNet++,108,0.316831,0.295678
ResNet34 + UNet++,109,0.306678,0.296194
ResNet34 + UNet++,110,0.311822,0.294046
ResNet34 + UNet++,111,0.323538,0.297003
ResNet34 + UNet++,112,0.313347,0.293649
ResNet34 + UNet++,113,0.292042,0.294600
ResNet34 + UNet++,114,0.302646,0.294160
ResNet34 + UNet++,115,0.312542,0.292746
ResNet34 + UNet++,116,0.293509,0.294830
ResNet34 + UNet++,117,0.349972,0.296168
ResNet34 + UNet++,118,0.299347,0.295540
ResNet34 + UNet++,119,0.305262,0.295687
ResNet34 + UNet++,120,0.287937,0.296996
ResNet34 + UNet++,121,0.295188,0.296173
ResNet34 + UNet++,122,0.333554,0.294071
ResNet34 + UNet++,123,0.296243,0.294846
ResNet34 + UNet++,124,0.287036,0.294797
ResNet34 + UNet++,125,0.304728,0.293896
ResNet34 + UNet++,126,0.309036,0.293187
ResNet34 + UNet++,127,0.281311,0.291995
ResNet34 + UNet++,128,0.300825,0.291697
ResNet34 + UNet++,129,0.278959,0.292525
ResNet34 + UNet++,130,0.288718,0.292992
ResNet34 + UNet++,131,0.295738,0.291202
ResNet34 + UNet++,132,0.301244,0.290804
ResNet34 + UNet++,133,0.306009,0.293456
ResNet34 + UNet++,134,0.298193,0.291175
ResNet34 + UNet++,135,0.274487,0.291780
ResNet34 + UNet++,136,0.269731,0.293235
ResNet34 + UNet++,137,0.277084,0.292273
ResNet34 + UNet++,138,0.289993,0.292011
ResNet34 + UNet++,139,0.294469,0.292155
