group,sample_id,Unified,Monocot,Dicot
Dicots in - In-distribution Test,Tomato_Olympus_Exp1_Lignin_mutants_132,0.946317,0.537857,0.942667
Dicots in - In-distribution Test,Tomato_Olympus_Exp1_Lignin_mutants_16,0.881617,0.467814,0.848050
Dicots in - In-distribution Test,Tomato_Olympus_Exp1_Lignin_mutants_223,0.936217,0.530714,0.942350
Dicots in - In-distribution Test,Tomato_Olympus_Exp2_Lignin_mutants_06,0.953700,0.559714,0.948983
Dicots in - In-distribution Test,Tomato_Olympus_Exp2_Lignin_mutants_35,0.927217,0.685800,0.919083
Dicots in - In-distribution Test,Tomato_Olympus_Exp3_Lignin_mutants_36,0.952350,0.528171,0.946800
Dicots in - In-distribution Test,Tomato_Olympus_Exp5_Solanum_MajkenSlide1_05,0.945200,0.556114,0.941200
Dicots in - In-distribution Test,Tomato_Olympus_Exp5_Solanum_MajkenSlide1_14,0.941133,0.562643,0.935817
Dicots in - In-distribution Test,Tomato_Olympus_Exp5_Solanum_MajkenSlide1_36,0.933283,0.594971,0.930367
Dicots in - In-distribution Test,Tomato_Olympus_Exp6_Solanum_WendySlide1_04,0.952400,0.644000,0.946700
Dicots in - In-distribution Test,Tomato_Olympus_Exp6_Solanum_WendySlide1_19,0.957100,0.551957,0.951367
Dicots in - In-distribution Test,Tomato_Olympus_Exp8_Solanum_Yeonjoon_Slide3_02,0.926133,0.605986,0.920633
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_31,0.783043,0.789343,0.370614
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_33,0.767900,0.774357,0.385886
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_34,0.883257,0.882157,0.382457
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_36,0.840414,0.857571,0.471914
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_37,0.911914,0.915414,0.467200
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_39,0.874600,0.865757,0.436829
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_40,0.894700,0.885443,0.549429
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_41,0.884929,0.876471,0.589157
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_42,0.922557,0.917643,0.463429
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_43,0.890643,0.876429,0.600714
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_44,0.920529,0.919986,0.605914
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_45,0.903100,0.899857,0.593043
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_48,0.917429,0.916429,0.598014
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_50,0.911086,0.910100,0.521443
Monocots in - Out-of-distribution Test,Rice_Zeiss_Exp1_Image_51,0.877557,0.875514,0.479643
