species,GT_aerenchyma_ratio,GT_exodermis_TRITC,GT_exodermis_FITC,GT_endodermis_TRITC,GT_endodermis_FITC,Pred_aerenchyma_ratio,Pred_exodermis_TRITC,Pred_exodermis_FITC,Pred_endodermis_TRITC,Pred_endodermis_FITC
Solanum,,10994.80469,5252.871094,23319.1582,9242.389648,,11013.76367,5255.553711,23422.42383,9302.657227
Solanum,,13485.70898,6546.319336,22737.52539,9244.572266,,13276.37012,6448.880859,22755.73438,9153.335938
Solanum,,11017.85156,6092.728516,22324.72852,10414.10547,,10798.4502,5965.736328,22126.08594,10326.39063
Solanum,,12947.00293,5014.220703,26543.75977,10031.47266,,13037.05859,5033.879883,26509.0625,10041.47266
Solanum,,6947.171387,3815.765137,16180.21387,7181.561523,,6951.734375,3816.279053,16180.21387,7181.561523
Solanum,,10634.10938,4131.441895,21744.39063,7499.219727,,10662.1123,4141.827637,21793.37695,7499.219727
Solanum,,8990.936523,5257.743652,16505.26758,4117.916992,,8971.842773,5232.893555,16486.68555,4113.026855
Solanum,,10707.25195,11236.74707,16038.80566,3278.453613,,10716.89941,11097.25977,15994.35645,3270.633545
Solanum,,6252.069824,8100.152832,12866.00879,4353.877441,,6350.540527,8265.776367,12694.90332,4291.742676
Solanum,,8089.09082,8387.729492,15103.37207,5668.94043,,8119.010254,8227.075195,15103.37207,5650.093262
Solanum,,9163.517578,9380.581055,15973.61719,4756.018066,,9166.085938,9356.488281,15973.61719,4756.018066
Solanum,,6635.22168,5258.472168,2753.048584,5910.625,,6779.978516,5272.958496,2761.10376,6020.900879
Solanum,,5007.996582,6079.342773,2173.123291,4141.462891,,5148.404297,6170.700684,2200.296387,4172.532715
Solanum,,7161.169922,6947.575684,3015.824219,4039.727295,,7128.989258,6913.163086,3022.879395,4052.023193
Solanum,,9867.537109,7573.543457,3704.318604,6709.875,,9828.374023,7570.083984,3606.964844,6699.911621
Solanum,,8883.884766,6348.765137,3486.38501,5968.60498,,8807.908203,6339.600586,3413.047607,5968.60498
Solanum,,6050.019531,4925.681641,2615.85376,4012.116699,,5958.685547,4898.06543,2570.675293,4020.436523
